"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
10000,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000499999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000499999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000199999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000399999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000399999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000299999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
