"GLD","IAU","SGOL","XLU","VPU","IDU","RYU","FXU","XLP","VDC","KXI","date"
0,-0.00077785108493611,0,-0.019587953913311,-0.0194941037773004,-0.019674018756926,-0.0168873672124246,-0.0136225686903804,0.00267956688488225,0.00154689416328679,0.000885351647767596,2014-07-02
-0.00423757429879856,-0.00546241297247274,-0.00554398508836096,-0.0109983679137127,-0.00951482656208658,-0.00984377323399155,-0.0073055767932324,-0.00558779261652287,0.0055600529389328,0.00488243043835457,0.00518472569111328,2014-07-03
-0.00110163689538378,0,-0.00038615395162811,0.00469508534097374,0.00321735346344276,0.00353971899734518,0.00427950242533903,0.00301227542236981,0.00155143989042017,0.00119530348793973,-0.00418982057333794,2014-07-07
0.000393585368365201,0.000782184553073328,0.000308905632449452,0.00676839643692206,0.00704207813882096,0.00658123953377343,0.00549527029846875,0.00343244547969679,-0.00199525746833062,-0.002135906610361,-0.00320985855587308,2014-07-08
0.00604134005711909,0.00623540010777779,0.00654226226246513,-0.00279523954295868,-0.0022353738813452,-0.00194191248596498,-0.00178239353610987,-0.00300236138760734,0.00442763899902054,0.00367106014532848,0.00453458776577076,2014-07-09
0.00546063433947719,0.00619676070101915,0.00558468002404888,0.00674176606885091,0.00510208796520661,0.00572237067482639,0.00615721102682265,0.00471370219943479,-0.00154734903643972,-0.00110820879911966,-0.00519964044628773,2014-07-10
0.0018654249196528,0.0015432454995552,0.00160078616628923,-0.00767552884410128,-0.00691535353327577,-0.00803934378171123,-0.00560868697030159,-0.00471370219943479,0.00132661249288457,0.00102320636850539,0.00132997175682759,2014-07-11
-0.0240482909919928,-0.024191614253267,-0.0241291127343906,-0.0115063759725924,-0.0110568547956893,-0.0111960916659277,-0.00923274353672099,-0.00689692942385634,0.00352901812306605,0.00314817612638763,0.00541361889765479,2014-07-14
-0.00951058070848898,-0.00952387250052311,-0.00924989199214643,0.00518260064969311,0.00409356105574687,0.00449358256623489,0.00428245784920289,0.00216026512049972,-0.00884542009312739,-0.00776079013417963,-0.00818676165307508,2014-07-15
0.00352707733508684,0.00238946616129976,0.00290958432917643,0.00328438120418628,0.00214763005563068,0.00205276435592561,0.00316555482732817,0.00387726413164557,0.000221699707907863,-0.000599776225048032,0.00310564210260678,2014-07-16
0.0168217498132304,0.0181321875026819,0.0172820840983445,-0.00917550964489733,-0.00980962332404722,-0.00945919560994657,-0.00952695426022121,-0.0112410073144025,-0.00623730310427417,-0.00722188037024463,-0.00622095927318211,2014-07-17
-0.00758236875559337,-0.00705609762403459,-0.00751447345824818,0.0101116371809895,0.0113105140858902,0.0107633012468851,0.01035141899842,0.0108106593110846,0.0100053928735431,0.00978881601079173,0.00710660493867676,2014-07-18
0.00166355716111166,0.000786490702108456,0.00170929364316486,-0.000936127536092179,-0.00182270380648575,-0.00167725715028499,-0.00123691844662321,-0.00690532789183562,-0.00465689200888786,-0.00522606932429515,-0.00354709254204932,2014-07-21
-0.0047603905187632,-0.00472817424153238,-0.00490252138047609,-0.00210991459769216,-0.00118122629005413,-0.00139972783762454,0.000824333252483989,0,-0.0017793361307068,0,-0.000111081835173721,2014-07-22
-0.000954767075203478,-0.00158098878295299,-0.00101467234315322,0.000938223169299146,-0.000644590720933813,-0.000653988400177496,-0.00206217613504212,0.00043300944690472,-0.00133727907973435,-0.00137532595156031,0.000444356329155848,2014-07-23
-0.0101613409118695,-0.00874066828350228,-0.010124460464493,0.00304318994878905,0.00257705371602679,0.00270636334736141,0.00412051173532557,0.0030254023166032,0.00267213131545052,0.00352023163100057,0.000887400348608569,2014-07-24
0.0115136991504272,0.0111112527578503,0.0119189385709779,-0.00797934085428009,-0.00807513276004101,-0.00870424531617964,-0.0086734631101324,-0.00954031401991351,-0.00401066486151747,-0.00498336936815225,-0.00756983426634905,2014-07-25
-0.00167083686225578,-0.00157981533685003,-0.00163832482351411,0.0138061728259977,0.0136349497832393,0.0143726460512732,0.0137326989350726,0.0125571208144746,-0.005148300484485,-0.0055284026783724,-0.00134157139805779,2014-07-28
-0.00303058597580996,-0.0039603407850124,-0.00375464946093951,-0.00933926223633996,-0.00985838803690875,-0.00930924682963719,0.00217968931830637,0.006005814624503,-0.00449812819919737,-0.004949499067334,-0.00268928313658279,2014-07-29
-0.00295960795958994,-0.00238384590875595,-0.00274670343953121,-0.0170337664900986,-0.014972841239314,-0.0158372289618618,-0.0167421949222737,-0.0176917170798547,-0.0106518943813474,-0.00970903768626208,-0.00822425233019519,2014-07-30
-0.0116027603674276,-0.0120049156758886,-0.0114603472069676,-0.0158733520706815,-0.0165327178436447,-0.0164787420659867,-0.0168866890394632,-0.0162390358341717,-0.0172355764847656,-0.0171993000114607,-0.0187260083532239,2014-07-31
0.00799130762964051,0.00801931958638313,0.00831198092340735,0.00387143446054594,0.00310714955973168,0.00356759139821472,0.0032316951144935,-0.000442918540590753,0.00762013100367831,0.00766107319920373,0.00264722836941989,2014-08-01
-0.00314047363086267,-0.00320007597304572,-0.00355381025067913,-0.00532697166885443,-0.00477594433765649,-0.00608242976919637,-0.00464031748643823,-0.0129205634153058,0.00321550585335739,0.00380834272507258,0.00172291696951721,2014-08-04
-0.000968249223486595,-0.000801545155857397,-0.000237390462696663,-0.012212871205135,-0.0123208893901818,-0.0110034855283971,-0.00920364991176825,0.00223983236815739,-0.00436630842402685,-0.00531786730923667,-0.00344838006871573,2014-08-05
