"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"WST","DXCM","WST","FICO","NFLX","NFLX","NFLX","DXCM","DXCM","DXCM","NFLX","NFLX","NFLX","MSI","MSI","MSI","MSI","CRM","DXCM","DXCM","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","PODD","PODD","CSCO","CSCO","CSCO","DXCM","DXCM","NFLX","NFLX","NFLX","DXCM","FICO","DXCM","DXCM","DXCM","DXCM","FICO","FICO","FICO","FICO","FICO","FICO","FICO","PODD","PODD","AAPL","AAPL","AAPL","AAPL","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","WST","AAPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAPL","AAPL","AAPL","WST","DXCM","DXCM","DXCM","NFLX","NFLX","NFLX","META","MSI","MSI","GOOG","PODD","PODD","PODD","ADBE","WST","CRM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","CRM","DXCM","PODD","PODD","PODD","NFLX","NFLX","DXCM","DXCM","DXCM","FICO","CRM","AAPL","MSI","MSI","MSI","SCX","SCX","SCX","SCX","NFLX","PODD","PODD","AAPL","AAPL","PODD","PODD","PODD","NFLX","NFLX","PODD","WST","WST","WST","WST","WST","AAPL","PODD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSFT","SCX","DXCM","DXCM","FICO","FICO","FICO","WST","WST","WST","ADBE","META","MSFT","ADBE","ADBE","ADBE","ADBE","WST","CRM","WST","WST","WST","WST","WST","WST","WST","WST","WST","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","AAPL","CSCO","MSFT","MSFT","MSFT","PODD","PODD","ADBE","ADBE","ADBE","PODD","DXCM","WST","FICO","FICO","FICO","CSCO","CSCO","CSCO","CSCO","PODD","AAPL","AAPL","DXCM","MSI","DXCM","DXCM","MSFT","DXCM","PODD","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","PODD","MSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META","WST","FICO","AAPL","AAPL","AAPL","AAPL","META","META","META","MSI","ADBE","GOOG","MSFT","WST","WST","WST","SCX","SCX","ADBE","MSFT","MSFT","MSFT","AAPL","AAPL","AAPL","AAPL","AAPL","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","MSFT","FICO","CRM","CRM","CRM","ADBE","ADBE","MSFT","MSFT","MSFT","CRM","MSFT","MSI","CRM","CRM","CRM","CRM","CRM","CRM","CRM","META","MSFT","MSFT","MSI","MSFT","META","META","DXCM","GOOG","FICO","WST","FICO","PODD","ADBE","ADBE","ADBE","MSI","WST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCO","CSCO","CSCO","CRM","CRM","CRM","CRM","CRM","CRM","CRM","WST","FICO","ADBE","META","MSFT","MSFT","MSFT","DXCM","ADBE","PODD","SCX","SCX","SCX","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","ADBE","CRM","DXCM","DXCM","DXCM","CSCO","CSCO","FICO","FICO","FICO","WST","NFLX","MSFT","WST","WST","WST","MSFT","MSFT","MSFT","MSFT","MSFT","MSI","MSI","MSFT","DXCM","MSFT","MSFT","GOOG","MSFT","WST","FICO","ADBE","FICO","FICO","FICO","FICO","META","NFLX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCX","FICO","CRM","CSCO","CSCO","CSCO","CSCO","FICO","FICO","FICO","MSFT","GOOG","META","FICO","CRM","CRM","CRM","PODD","FICO","SCX","ADBE","ADBE","ADBE","MSI","MSI","MSI","MSI","MSI","GOOG","GOOG","GOOG","GOOG","GOOG","GOOG","META","MSFT","AAPL","AAPL","AAPL","MSFT","MSFT","CRM","CRM","CRM","MSI","WST","FICO","MSFT","MSFT","MSFT","MSI","MSI","MSI","MSI","MSI","ADBE","ADBE","FICO","META","FICO","FICO","CRM","ADBE","AAPL","ADBE","PODD","ADBE","MSFT","MSFT","MSFT","CRM","SCX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DXCM","MSFT","MSI","META","META","META","META","ADBE","ADBE","ADBE","GOOG","MSFT","FICO","WST","META","META","META","FICO","PODD","FICO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","FICO","FICO","FICO","FICO","FICO","FICO","FICO","META","NFLX","NFLX","NFLX","CRM","CRM","PODD","PODD","PODD","ADBE","AAPL","CRM","CSCO","CSCO","CSCO","ADBE","ADBE","ADBE","ADBE","AAPL","META","META","WST","FICO","CRM","CRM","WST","PODD","MSFT","MSFT","MSFT","MSFT","AAPL","AAPL","AAPL","ADBE","MSFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
